MCST TYPE	MCST NUMBER	SUB-MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	NUMBER OF STRATA UNITS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO
 Single Tier Management Corporation	 0001		S68MC0001B	BENG TONG MANSION	247 TANJONG KATONG ROAD 437035	16 KING GEORGES AVENUE - SINGAPORE 208558	ACTIVE	3	63251109	23/10/1968		
 Single Tier Management Corporation	 0002		S68MC0002J	BENG TONG MANSION	249 TANJONG KATONG ROAD 437037	203 HOUGANG STREET 21 01-71 SINGAPORE 530203	ACTIVE	3	62888059	23/10/1968		
 Single Tier Management Corporation	 0003		S68MC0003E	BENG TONG MANSION	251A TANJONG KATONG ROAD 437039	251B TANJONG KATONG ROAD - SINGAPORE 437039	ACTIVE	3	63453007	23/10/1968	MCST	
 Single Tier Management Corporation	 0004		S68MC0004A	BENG TONG MANSION	243B TANJONG KATONG ROAD 428987	23 MOUNT SINAI DRIVE - SINGAPORE 277083	ACTIVE	3	62654277	23/10/1968	MCST	
 Single Tier Management Corporation	 0005		S68MC0005H	BENG TONG MANSION	253B TANJONG KATONG ROAD 437041	253B TANJONG KATONG ROAD - SINGAPORE 437041	ACTIVE	3		26/10/1968	MCST	
 Single Tier Management Corporation	 0006		S68MC0006D	BENG TONG MANSION	245B TANJONG KATONG ROAD 437033	245B TANJONG KATONG ROAD - SINGAPORE 437033	ACTIVE	3	63440230	26/10/1968	MCST	
 Single Tier Management Corporation	 0007		S68MC0007L	BENG TONG MANSION	241B TANJONG KATONG ROAD 437028	241A TANJONG KATONG ROAD - SINGAPORE 437029	ACTIVE	3	63464776	29/10/1968	MCST	
 Single Tier Management Corporation	 0008		S68MC0008G	BENG TONG MANSION	255B TANJONG KATONG ROAD 437043	255 TANJONG KATONG ROAD - SINGAPORE 437043	ACTIVE	3	63456920	29/10/1968	MCST	
 Single Tier Management Corporation	 0009		S68MC0009C	BENG TONG MANSION	257B TANJONG KATONG ROAD 437045	257 TANJONG KATONG ROAD - SINGAPORE 437045	ACTIVE	3	63457048	29/10/1968	MCST	
 Single Tier Management Corporation	 0010		S68MC0010L	BENG TONG MANSION	259B TANJONG KATONG ROAD 437047	259 TANJONG KATONG ROAD - SINGAPORE 437047	ACTIVE	3	63456165	29/10/1968	MCST	
 Single Tier Management Corporation	 0011		S69MC0011A	BINJAI PARK	31/A/B BINJAI PARK 589831	29B BINJAI PARK - SINGAPORE 589832	ACTIVE	6	97605320	13/05/1969		
 Single Tier Management Corporation	 0012		S69MC0012H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0012	27B BINJAI PARK 589829	27B BINJAI PARK - SINGAPORE 589830	ACTIVE	6	64654690	13/05/1969	NIL	
 Single Tier Management Corporation	 0013		S69MC0013D	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0013	23B BINJAI PARK 589827	23A BINJAI PARK - SINGAPORE 589828	ACTIVE	6	90017128	13/05/1969		
 Single Tier Management Corporation	 0014		S69MC0014L	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0014	17 BINJAI PARK 589825	17A BINJAI PARK - SINGAPORE 589825	ACTIVE	6	96850852	13/05/1969		
 Single Tier Management Corporation	 0015		S69MC0015G	MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0015	15B BINJAI PARK 589964	9 BEE SAN AVENUE - SINGAPORE 589964	ACTIVE	6	64698616	13/05/1969	MCST	
 Single Tier Management Corporation	 0016		S69MC0016C	MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0016	9 BINJAI PARK 589822	9A BINJAI PARK - SINGAPORE 589822	ACTIVE	3	64665359	13/05/1969	NIL	
 Single Tier Management Corporation	 0017		S69MC0017K	BINJAI PARK	3/A/B BINJAI PARK 589819	1014 GEYLANG EAST AVENUE 3 07-216 SINGAPORE 389729	ACTIVE	6	68440801	13/05/1969	Halley Service Pte Ltd	68440801
 Single Tier Management Corporation	 0018		S69MC0018F	MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0018	7/A/B BINJAI PARK 589821	1014 GEYLANG EAST AVENUE 3 07-216 SINGAPORE 389729	ACTIVE	6	68440801	13/05/1969	Halley Service Pte Ltd	68440801
 Single Tier Management Corporation	 0019		S69MC0019B	VALLEY MANSIONS	58A OXLEY ROAD 238637		ACTIVE	50	69333838	13/05/1969	Affinity Property Consultants Pte Ltd	69333838
 Single Tier Management Corporation	 0020		S69MC0020K	MANDALAY COURT	31/A-G MANDALAY ROAD 308212	31 MANDALAY ROAD - SINGAPORE 000000	TERMINATED	44		09/06/1969	HALLEY SERVICES PTE LTD	68440801
 Single Tier Management Corporation	 0021		S69MC0021F	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0021	8C LEWIS ROAD 258591	8 LEWIS ROAD - SINGAPORE 258593	ACTIVE	8	62352372	24/07/1969	HALLEY SERVICES PTE LTD	68440801
 Single Tier Management Corporation	 0022		S69MC0022B			71 LORONG 23 GEYLANG 06-01 SINGAPORE 388386	TERMINATED	12	67412422	21/08/1969	BRONSAN INTERS-FURNI CONTRACTS & SERVICES	92205693
 Single Tier Management Corporation	 0023		S69MC0023J	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0023	136C TANJONG KATONG ROAD 436976	130A TANJONG KATONG ROAD - SINGAPORE 436973	ACTIVE	20	67448947	05/09/1969		
 Single Tier Management Corporation	 0024		S69MC0024E	SPRING COURT / SPRING MANSION	584/A/B/C BALESTIER ROAD 329367	574 BALESTIER ROAD - SINGAPORE 329889	TERMINATED	54	90220505	26/09/1969		
 Single Tier Management Corporation	 0025		S69MC0025A	GOLDHILL TOWERS	38 GOLDHILL AVENUE 309021	38-44 GOLDHILL AVENUE - SINGAPORE 309021	ACTIVE	50	66653880	15/10/1969	Propmag Management Services Pte Ltd	66653880
 Single Tier Management Corporation	 0026		S69MC0026H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0026	30B FLANDERS SQUARE 209310	30 FLANDERS SQUARE - SINGAPORE 209310	ACTIVE	3	62981936	18/11/1969	NIL	
 Single Tier Management Corporation	 0027		S69MC0027D	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0027	28/A/B FLANDERS SQUARE 209309	288 TAMPINES STREET 22 02-346 SINGAPORE 520288	ACTIVE	3	67812736	18/11/1969	NIL	
 Single Tier Management Corporation	 0028		S69MC0028L	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0028	26 FLANDERS SQUARE 209308	6 TAMAN SIREH - SINGAPORE 535199	ACTIVE	3	62868382	18/11/1969	NIL	
 Single Tier Management Corporation	 0029		S69MC0029G	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0029	24/A/B FLANDERS SQUARE 209307	24A FLANDERS SQUARE - SINGAPORE 209307	ACTIVE	3	62967993	18/11/1969	NIL	
 Single Tier Management Corporation	 0030		S69MC0030D	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0030	22/A/B FLANDERS SQUARE 209306	30 CASSIA CRESCENT 08-04 SINGAPORE 391030	ACTIVE	3	63485324	18/11/1969	NIL	
 Single Tier Management Corporation	 0031		S69MC0031L	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0031	20B FLANDERS SQUARE 208305	40L HERTFORD ROAD - SINGAPORE 219392	ACTIVE	3		18/11/1969	NIL	
 Single Tier Management Corporation	 0032		S69MC0032G	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0032	18 FLANDERS SQUARE 209304	18 FLANDERS SQUARE - SINGAPORE 209304	ACTIVE	3	67486287	18/11/1969	NIL	
 Single Tier Management Corporation	 0033		S69MC0033C	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0033	16B FLANDERS SQUARE 209303	22 BOON KENG ROAD 10-07 SINGAPORE 330022	ACTIVE	3	62969476	19/11/1969	NIL	
 Single Tier Management Corporation	 0034		S69MC0034K	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0034	14/A/B FLANDERS SQUARE 209301	14 FLANDERS SQUARE - SINGAPORE 209301	ACTIVE	3	62924369	19/11/1969	NIL	
 Single Tier Management Corporation	 0035		S69MC0035F	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0035	12/A/B FLANDERS SQUARE 209300	65 NAMLY PLACE - SINGAPORE 267210	ACTIVE	3	96215411	19/11/1969	NIL	
 Single Tier Management Corporation	 0036		S69MC0036B	FLANDERS SQUARE	10 FLANDERS SQUARE 209299	126C KIM TIAN ROAD 07-513 SINGAPORE 163126	ACTIVE	3	90291308	19/11/1969		
 Single Tier Management Corporation	 0037		S69MC0037J	JI LIANG GARDENS 21 - 21E	8B FLANDERS SQUARE 209298	14 PERUMAL ROAD - SINGAPORE 218779	ACTIVE	3		19/11/1969	MCST	
 Single Tier Management Corporation	 0038		S69MC0038E	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0038	6/A/B FLANDERS SQUARE 209297	22B LORONG 23 GEYLANG - SINGAPORE 388362	ACTIVE	3	67422250	19/11/1969	NIL	
 Single Tier Management Corporation	 0039		S69MC0039A	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0039	4/A/B FLANDERS SQUARE 209296	4 FLANDERS SQUARE - SINGAPORE 209296	ACTIVE	3		19/11/1969	NIL	
 Single Tier Management Corporation	 0040		S69MC0040J	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0040	2/A/B FLANDERS SQUARE 209295	2 FLANDERS SQUARE - SINGAPORE 209295	ACTIVE	3		19/11/1969	NIL	
 Single Tier Management Corporation	 0041		S69MC0041E	PEONY MANSION	46 BENCOOLEN STREET 189624	20 MAXWELL ROAD 12-01A SINGAPORE 069113	TERMINATED	35	65354600	22/11/1969	SCMS PROPERTY MANAGEMENT PTE LTD	65354600
 Single Tier Management Corporation	 0042		S69MC0042A	THE SINGAPORE-JOHORE EXPRESSN LTD	4 WHAMPOA DRIVE 327715	4B WHAMPOA DRIVE - SINGAPORE 327715	ACTIVE	3	62510576	29/11/1969	NIL	
 Single Tier Management Corporation	 0043		S69MC0043H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0043	10 WHAMPOA DRIVE 327720	17 JOO CHIAT LANE 01-07 SINGAPORE 428096	ACTIVE	3	92788338	29/11/1969	NIL	
 Single Tier Management Corporation	 0044		S69MC0044D		4 ROBIN ROAD 258177	96 ROBINSON ROAD 10-01 SINGAPORE 068899	TERMINATED	16	65366696	22/12/1969	PACIFIC PROPERTY MANAGEMENT PTE LTD	68411535
 Single Tier Management Corporation	 0045		S70MC0045B	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0045	36/A/B SEAH STREET 188392	35B SEAH STREET - SINGAPORE 188391	ACTIVE	6	63361027	30/01/1970	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288
 Single Tier Management Corporation	 0046		S70MC0046J	NEWTON COURT	118C NEWTON ROAD 307973	TERMINATED SIMS AVENUE - SINGAPORE 	TERMINATED	50	68421731	17/02/1970	LANDSFIELD PROPERTY CONSULTANTS PTE LTD	68421731
 Single Tier Management Corporation	 0047		S70MC0047E	HOOVER FLATS	11/A/B/C/D JALAN RAMA RAMA 329095	TERMINATED JALAN KILANG BARAT - SINGAPORE 	TERMINATED	64		06/03/1970	NIL	
 Single Tier Management Corporation	 0048		S70MC0048A	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0048	38C CHANGI ROAD 419701	56A LORONG 32 GEYLANG - SINGAPORE 398316	ACTIVE	3	96303848	23/03/1970	NIL	
 Single Tier Management Corporation	 0049		S70MC0049H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0049	3E LORONG 12 GEYLANG 398984	12 LORONG 12 GEYLANG - SINGAPORE 398984	ACTIVE	3	67483878	31/03/1970	NIL	
 Single Tier Management Corporation	 0050		S70MC0050E	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0050	3H LORONG 12 GEYLANG 398984	3H LORONG 12 GEYLANG - SINGAPORE 398984	ACTIVE	3	62800306	31/03/1970	NIL	
 Single Tier Management Corporation	 0051		S70MC0051A	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0051	30B SEAH STREET 188383	27 SEAH STREET - SINGAPORE 188383	ACTIVE	6	63384968	01/04/1970		
 Single Tier Management Corporation	 0052		S70MC0052H	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	23		23/04/1970	NIL	
 Single Tier Management Corporation	 0053		S70MC0053D	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0053	69B LORONG 16 GEYLANG 398888	1020B UPPER SERANGOON ROAD - SINGAPORE 534758	ACTIVE	6	98283062	04/05/1970		
 Single Tier Management Corporation	 0054		S70MC0054L	SERANGOON MANSION	26C RACE COURSE LANE 218743	2 BALESTIER ROAD 03-669 SINGAPORE 320002	TERMINATED	9	90015253	25/05/1970		
 Single Tier Management Corporation	 0055		S70MC0055G	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	8		13/06/1970	NIL	
 Single Tier Management Corporation	 0056		S70MC0056C	NA	11A/B SING AVENUE 217865	21A SING AVENUE - SINGAPORE 217869	ACTIVE	12	62987519	26/06/1970		
 Single Tier Management Corporation	 0057		S70MC0057K	ENG AUN MANSION	322/A/B/C THOMSON ROAD 307658	310 THOMSON ROAD - SINGAPORE 307657	ACTIVE	40	64111675	30/06/1970	Chamber Property Management Services Pte Ltd	64111675
 Single Tier Management Corporation	 0058		S70MC0058F			TERMINATED  - SINGAPORE 	TERMINATED	8		15/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0059		S70MC0059B	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0059	74 LORONG 25A GEYLANG 388257	74-B LORONG 25A GEYLANG - SINGAPORE 388257	ACTIVE	3	67484575	17/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0060		S70MC0060K	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0060	76 LORONG 25A GEYLANG 388258	76 LORONG 25A GEYLANG - SINGAPORE 388258	ACTIVE	3	68379068	17/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0061		S70MC0061F	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0061	78 LORONG 25A GEYLANG 388259	110 JALAN JURONG KECHIL 02-01 SINGAPORE 598606	ACTIVE	3	64681949	17/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0062		S70MC0062B	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0062	80 LORONG 25A GEYLANG 388260	80 LORONG 25A GEYLANG - SINGAPORE 388260	ACTIVE	3		17/07/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0063		S70MC0063J	DRAGON MANSION	14 SPOTTISWOODE PARK ROAD 088641	2 KALLANG AVENUE 09-28 SINGAPORE 339407	TERMINATED	68	67356255	12/09/1970	AV CONSULTANTS PTE LTD	67356255
 Single Tier Management Corporation	 0064		S70MC0064E	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0064	39B TRURO ROAD 217579	39A TRURO ROAD - SINGAPORE 217577	ACTIVE	4	62995947	14/09/1970		
 Single Tier Management Corporation	 0065		S70MC0065A	MOULMEIN RISE		TERMINATED  - SINGAPORE 	TERMINATED	8		21/09/1970	NIL	
 Single Tier Management Corporation	 0066		S70MC0066H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0066	163 MACPHERSON ROAD 348532	101A UPPER CROSS STREET 11-14 SINGAPORE 058358	ACTIVE	3	65364336	02/10/1970	NIL	
 Single Tier Management Corporation	 0067		S70MC0067D	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0067	71 JALAN WANGI 349385	71 JALAN WANGI - SINGAPORE 349385	ACTIVE	3	62812355	02/10/1970	NIL	
 Single Tier Management Corporation	 0068		S70MC0068L	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0068	73B JALAN WANGI 349386	73 JALAN WANGI - SINGAPORE 349386	ACTIVE	3	62887168	02/10/1970		
 Single Tier Management Corporation	 0069		S70MC0069G	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0069	77 JALAN WANGI 349388	77 JALAN WANGI - SINGAPORE 349388	ACTIVE	3		02/10/1970	MCST	
 Single Tier Management Corporation	 0070		S70MC0070D	UNITED MANSION	596C EAST COAST ROAD 458998	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	48	68421731	24/10/1970	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731
 Single Tier Management Corporation	 0071		S70MC0071L		56/A/B/C MARTABAN ROAD 328666	TERMINATED YUK TONG AVENUE - SINGAPORE 596306	TERMINATED	8	64661342	23/11/1970	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342
 Single Tier Management Corporation	 0072		S70MC0072G	DRAGON VIEW PK (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	16		17/11/1970	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342
 Single Tier Management Corporation	 0073		S70MC0073C	Management Corporation Strata Title No. 0073	2 GRAY LANE 438938	6C GRAY LANE - SINGAPORE 438935	ACTIVE	10	91768817	17/11/1970		
 Single Tier Management Corporation	 0074		S70MC0074K	HONG THYE HOUSE	7E LORONG 39 GEYLANG 387867	701 GEYLANG ROAD 02-04 SINGAPORE 389687	ACTIVE	12		19/11/1970	PROMPTSERVE PTY MGT PTE LTD	91776959
 Single Tier Management Corporation	 0075		s70mc0075f	BOTANIC GARDENS MANSION	10 TAMAN SERASI 257721	2 TAMAN SERASI - SINGAPORE 257718	ACTIVE	112	64732588	21/12/1970	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0076		S71MC0076G	MARTABAN COURT	26/A/B/C MARTABAN ROAD 328644	TERMINATED TECH PARK CRESCENT - SINGAPORE 	TERMINATED	16		29/01/1971	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0077		S71MC0077C	ST. MARTINS PL (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	24		05/02/1971	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100
 Single Tier Management Corporation	 0078		S71MC0078K	FORD MANSION (strata scheme terminated)	7D FORD AVENUE 268685	5 TEMASEK BOULEVARD 07-02 SINGAPORE 038985	TERMINATED	17	62218288	15/02/1971	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288
 Single Tier Management Corporation	 0079		S71MC0079F	HOLLAND TOWER	10A HOLLAND HEIGHTS 249510	10 HOLLAND HEIGHTS - SINGAPORE 249510	ACTIVE	19	63387222	16/02/1971	HBA GROUP PROPERTY CONSULTANTS PTE LTD	63387222
 Single Tier Management Corporation	 0080		S71MC0080C	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0080	345C TELOK KURAU ROAD 423871	345 TELOK KURAU ROAD - SINGAPORE 423871	ACTIVE	8		20/02/1971		
 Single Tier Management Corporation	 0081		S71MC0081K	PEAKVILLE MANSION	18B JALAN PARI KIKIS 488551	18B JALAN PARI KIKIS - SINGAPORE 488546	ACTIVE	8	98457450	27/02/1971		
 Single Tier Management Corporation	 0082		s71mc0082f	27 BALMORAL PARK	27 BALMORAL PARK 259855	21 BUKIT BATOK CRESCENT 26-83 SINGAPORE 658065	ACTIVE	36	64111670	26/03/1971	Chamber Property Management Services Pte Ltd	64111670
 Single Tier Management Corporation	 0083		S7728574A	MANAGEMENT CORPN STRATA TITLE PLAN NO 0083	33L BALMORAL PARK 259858	31 BALMORAL PARK 01-01 SINGAPORE 259858	ACTIVE	34	64685100	26/03/1971	Chamber Property Management Services Pte Ltd	64111650
 Single Tier Management Corporation	 0084		S71MC0084J	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0084	77A HILLCREST ROAD 289204	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	46	63370087	30/03/1971		
 Single Tier Management Corporation	 0085		S71MC0085E	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0085	98E UPPER EAST COAST ROAD 455237	98A UPPER EAST COAST ROAD - SINGAPORE 455237	ACTIVE	6	64448194	19/04/1971	NIL	
 Single Tier Management Corporation	 0086		S71MC0086A	GOLDHILL MANSION (Terminated)	9H JERVOIS ROAD 249104	TERMINATED JERVOIS CLOSE - SINGAPORE 	TERMINATED	42		11/05/1971	ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD	64497141
 Single Tier Management Corporation	 0087		S71MC0087H	QUE LIN GARDEN (Terminated)	35F ST. THOMAS WALK 238123	35-43 ST. THOMAS WALK - SINGAPORE 238123	TERMINATED	40	96737817	27/05/1971	GARDENEA MANAGEMENT SERVICES	96737817
 Single Tier Management Corporation	 0088		S71MC0088D	RAINBOW MANSION	4B ONE TREE HILL 249601	9 PENANG ROAD 07-18 SINGAPORE 238459	ACTIVE	18	63362453	01/06/1971	PIONEER ENTERPRISE PTE LTD	63362453
 Single Tier Management Corporation	 0089		S71MC0089L			TERMINATED  - SINGAPORE 	TERMINATED	11		02/07/1971	PIONEER ENTERPRISE PTE LTD	63362453
 Single Tier Management Corporation	 0090		S71MC0090H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0090	9A LORONG 17 GEYLANG 388542	11A LORONG 17 GEYLANG - SINGAPORE 388542	ACTIVE	4	67443388	21/07/1971		
 Single Tier Management Corporation	 0091		S71MC0091D	CARPMAEL LODGE	6F CARPMAEL ROAD 429754		ACTIVE	7	+6590036357	06/08/1971		
 Single Tier Management Corporation	 0092		S71MC0092L	GOLDHILL CENTRE	169/A/B THOMSON ROAD 307632	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	87	68421731	07/08/1971	LANDSFIELD PROPERTY CONSULTANTS PTE LTD	68421731
 Single Tier Management Corporation	 0093		S71MC0093G	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0093	27A LORONG 15 GEYLANG 388612	27 LORONG 15 GEYLANG - SINGAPORE 388614	ACTIVE	9	67458766	06/08/1971		
 Single Tier Management Corporation	 0094		S71MC0094C		8B LORONG 7 GEYLANG 388792	8B LORONG 7 GEYLANG - SINGAPORE 388792	TERMINATED	6		22/09/1971		
 Single Tier Management Corporation	 0095		S71MC0095K			TERMINATED  - SINGAPORE 	TERMINATED	4		25/09/1971	MCST	
 Single Tier Management Corporation	 0096		S71MC0096F			TERMINATED  - SINGAPORE 	TERMINATED	4		25/09/1971	MCST	
 Single Tier Management Corporation	 0097		S71MC0097B			TERMINATED  - SINGAPORE 	TERMINATED	4		25/09/1971	MCST	
 Single Tier Management Corporation	 0098		S71MC0098J			TERMINATED  - SINGAPORE 	TERMINATED	4		25/09/1971	MCST	
 Single Tier Management Corporation	 0099		S71MC0099E			TERMINATED  - SINGAPORE 	ACTIVE	4		25/09/1971	MCST	
 Single Tier Management Corporation	 0100		S71MC0100J	ST THOMAS APT. (Terminated)		TERMINATED  - SINGAPORE 	TERMINATED	12		20/10/1971	MCST	
 Single Tier Management Corporation	 0101		S71MC0101E	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0101	188-1B TANJONG KATONG ROAD 436990	188-1A TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	3	64740828	27/10/1971	MCST	
 Single Tier Management Corporation	 0102		S71MC0102A	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0102	188-2B TANJONG KATONG ROAD 436990	188-2B TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	3		27/10/1971	MCST	
 Single Tier Management Corporation	 0103		S71MC0103H	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0103	188-3B TANJONG KATONG ROAD 436990	188-3 TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	3	64446398	27/10/1971	MCST	
 Single Tier Management Corporation	 0104		S71MC0104D	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0104	188-4B TANJONG KATONG ROAD 436990	188-4B TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	3	64404538	27/10/1971	N	
 Single Tier Management Corporation	 0105		S71MC0105L	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0105	188-5B TANJONG KATONG ROAD 436990	188-5A TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	3		27/10/1971	N	
 Single Tier Management Corporation	 0106		S71MC0106G	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0106	188-6B TANJONG KATONG ROAD 436990	188-6 TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	3	64488996	27/10/1971	N	
 Single Tier Management Corporation	 0107		S71MC0107C	MANAGEMENT CORPN STRATA TITLE PLAN NO. 107	188-7B TANJONG KATONG ROAD 593001	188-7 TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	3	64668110	27/10/1971	N	
 Single Tier Management Corporation	 0108		S71MC0108K	MANAGMENT CORPORATION STRATA TITLE PLAN NO. 0108	188-8B TANJONG KATONG ROAD 436990	1 PALM AVENUE - SINGAPORE 456520	ACTIVE	3	64465728	27/10/1971	N	
 Single Tier Management Corporation	 0109		S71MC0109F	MANAGEMENT CORPN STRATA TITLE PLAN NO. 109	188-9B TANJONG KATONG ROAD 436990	188-9B TANJONG KATONG ROAD - SINGAPORE 436990	ACTIVE	3		27/10/1971	N	
 Single Tier Management Corporation	 0110		S71MC0110C	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0110	188-10B TANJONG KATONG ROAD 436990	363 JOO CHIAT ROAD - SINGAPORE 427608	ACTIVE	3	63458080	27/10/1971	N	
 Single Tier Management Corporation	 0111		S71MC0111K	NORTHERN MANSION	99J MERGUI ROAD 219065	97 MERGUI ROAD - SINGAPORE 219065	TERMINATED	18	66653880	02/11/1971	PROPMAG MANAGEMENT SERVICES PTE LTD	66653880
 Single Tier Management Corporation	 0112		S71MC0112F	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0112	4B ST. GEORGES ROAD 328023	4 ST. GEORGES ROAD - SINGAPORE 328024	ACTIVE	6	62934697	23/11/1971		
 Single Tier Management Corporation	 0113		S71MC0113B	JERVOIS COURT (Terminated)	16B JERVOIS CLOSE 249108	TERMINATED ALEXANDRA ROAD - SINGAPORE 	TERMINATED	50		06/12/1971	ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD	64497141
 Single Tier Management Corporation	 0114		S71MC0114J	enbloc	222/A-C BALESTIER ROAD 328686	80 MARINE PARADE ROAD 21-01 SINGAPORE 449269	TERMINATED	12		18/12/1971	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342
 Single Tier Management Corporation	 0115		S71MC0115E			TERMINATED  - SINGAPORE 	TERMINATED	21		21/12/1971	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342
 Single Tier Management Corporation	 0116		S72MC0116F	MANAGEMENT CORPN STRATA TITLE PLAN NO 0116	18 SPOTTISWOODE PARK ROAD 088642	15 WEST COAST HIGHWAY 04-01 SINGAPORE 117861	TERMINATED	72	67792711	28/01/1972	Stature Real Estate Enterprises Pte Ltd	67792711
 Single Tier Management Corporation	 0117		S72MC0117B	MANAGEMENT CORPN STRATA TITLE PLAN NO. 0117	64 LORONG N TELOK KURAU 425204	64 LORONG N TELOK KURAU - SINGAPORE 425204	ACTIVE	6		01/02/1972	MCST	
 Single Tier Management Corporation	 0118		S72MC0118J	NIL	537C EAST COAST ROAD 429068	531A EAST COAST ROAD - SINGAPORE 429065	TERMINATED	16	63443988	01/02/1972		
