MCST TYPE	MCST NUMBER	SUB-MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	NUMBER OF STRATA UNITS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO
 Single Tier Management Corporation	 2060		S0103472C	PENANG SERVICE APARTMENTS	16 LORONG 34 GEYLANG 398213	540 SIMS AVENUE 3-6 SINGAPORE 387603	ACTIVE	10	68421731	22/02/1997	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731
 Single Tier Management Corporation	 2061		S97MC2061G	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 2061	146/A/B/C RACE COURSE ROAD 218595	29 LEONIE HILL 07-05 SINGAPORE 239228	ACTIVE	4	67325438	15/02/1997	NIL	
 Single Tier Management Corporation	 2062		S97MC2062C	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 2062	325/A/B/C BALESTIER ROAD 329755	325A BALESTIER ROAD - SINGAPORE 329755	ACTIVE	7	62536355	06/02/1997	MCST	
 Single Tier Management Corporation	 2063		S97MC2063K	PASIR PANJANG LODGE	390 PASIR PANJANG ROAD 118722	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	12	68421731	06/03/1997	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731
 Single Tier Management Corporation	 2064		S97MC2064F	THE VERSAILLES	133 HEMMANT ROAD 438686	1014 GEYLANG EAST AVENUE 3 07-216 SINGAPORE 389729	ACTIVE	55	68440801	07/04/1997	Halley Service Pte Ltd	68440801
 Single Tier Management Corporation	 2065		S97MC2065B	VILLA DE WEST	385 PASIR PANJANG ROAD 118719	385 PASIR PANJANG ROAD - SINGAPORE 118719	ACTIVE	83	63488278	16/05/1997	ILAND PROPERTY CONSULTANTS PTE LTD	63488278
 Single Tier Management Corporation	 2066		S97MC2066J	DE CASALLE	86A LORONG N TELOK KURAU 425236	86A LORONG N TELOK KURAU - SINGAPORE 425236	ACTIVE	32	62981416	29/01/1997	Le Property Consultancy Pte Ltd	62981416
 Single Tier Management Corporation	 2067		S97MC2067E	PARK COURT	9 LORONG 101 CHANGI 426641	9 LORONG 101 CHANGI B1-01 SINGAPORE 426641	ACTIVE	48		30/01/1997		
 Single Tier Management Corporation	 2068		S97MC2068A	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 2068	151/A/B TYRWHITT ROAD 207564	151 TYRWHITT ROAD - SINGAPORE 207564	ACTIVE	6	62985989	17/03/1997	MCST	
 Single Tier Management Corporation	 2069		S97MC2069H	KIM WEE MANSION	99-99H MARSHALL ROAD 424894	101 CECIL STREET 12-09/10 SINGAPORE 069533	TERMINATED	9	62222172	13/02/1997	MCST	
 Single Tier Management Corporation	 2070		S97MC2070E	WHITLEY HEIGHTS	121 WHITLEY ROAD 297813	121 WHITLEY ROAD - SINGAPORE 297813	TERMINATED	43	68485637	13/05/1997	Knight Frank Estate Management Pte Ltd	68485637
 Single Tier Management Corporation	 2071		S97MC2071A	CASCADALE	730 UPPER CHANGI ROAD EAST 486858	734 UPPER CHANGI ROAD EAST 01-25 SINGAPORE 486862	ACTIVE	134	6542-1912	17/06/1997	Dickson Property Consultants Pte Ltd	63345565
 Single Tier Management Corporation	 2072		S97MC2072H	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 2072	358/A JOO CHIAT ROAD 427603	358A JOO CHIAT ROAD - SINGAPORE 427603	ACTIVE	4		21/02/1997		
 Single Tier Management Corporation	 2073		S97MC2073D	SUMMER GREEN	11 BOON TECK ROAD 329585	11 BOON TECK ROAD 01-01 SINGAPORE 329585	ACTIVE	24	6355 0910	08/05/1997	Aces Assets Management Pte Ltd	63550910
 Single Tier Management Corporation	 2074		S97MC2074L	MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 2074	134/A/B JOO CHIAT PLACE 427866	12 ROSE LANE - SINGAPORE 437373	ACTIVE	6	64427038	15/03/1997	BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD	64664703
 Single Tier Management Corporation	 2075		S97MC2075G	TIVOLI LODGE	32 LORONG 31 GEYLANG 388031	32 LORONG 31 GEYLANG - SINGAPORE 388031	ACTIVE	14	63420778	15/04/1997	Hilandas Property and Facilities Management Pte. Ltd	63420778
 Single Tier Management Corporation	 2076		S97MC2076C	CASTLE LOFT	133 LORONG K TELOK KURAU 425770	133 LORONG K TELOK KURAU B1-01 SINGAPORE 425770	ACTIVE	16	68421731	07/05/1997	LANDSFIELD PROPERTY MANAGMENT PTE LTD	68421731
 Single Tier Management Corporation	 2077		S97MC2077K	MERGUI MANSION	81 MERGUI ROAD 219057	81 MERGUI ROAD 01-01 SINGAPORE 219057	ACTIVE	36		24/03/1997	Kalli Renovation and Home Services	62954983
 Single Tier Management Corporation	 2078		S0103472C	GUILIN COURT	10 LORONG 26 GEYLANG 398485	10 LORONG 26 GEYLANG - SINGAPORE 398485	ACTIVE	28	63550910	31/03/1997	Aces Assets Management Pte Ltd	63550910
 Single Tier Management Corporation	 2079		S97MC2079B	ST. FRANCIS COURT	90 ST. FRANCIS ROAD 328071	90 ST. FRANCIS ROAD 01-01 SINGAPORE 328071	ACTIVE	71	65354600	14/05/1997	SCMS Property Management Pte Ltd	65354600
 Single Tier Management Corporation	 2080		S97MC2080K	MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2080	367A PASIR PANJANG ROAD 117672	367A PASIR PANJANG ROAD - SINGAPORE 118704	ACTIVE	4	67795210	14/03/1997		
 Single Tier Management Corporation	 2081		S97MC2081F	381 PASIR PANJANG ROAD	381 PASIR PANJANG ROAD 118713	540 SIMS AVENUE 03-06 SINGAPORE 387603	ACTIVE	12	68421731	12/04/1997	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731
 Single Tier Management Corporation	 2082		S97MC2082B	90 HOLLAND ROAD	90 HOLLAND ROAD 278535	90 HOLLAND ROAD B1-01 SINGAPORE 278535	ACTIVE	61		14/05/1997	Steadlink Asset Management Pte Ltd	68485678
 Single Tier Management Corporation	 2083		S97MC2083J	THE TROPIC GARDENS	332 UPPER EAST COAST ROAD 466456	332 UPPER EAST COAST ROAD - SINGAPORE 466456	ACTIVE	36	62915355	26/05/1997	Wisely 98 Pte Ltd	62915355
 Single Tier Management Corporation	 2084		S97MC2084E	THE DOMAIN	914 EAST COAST ROAD 459108	914 EAST COAST ROAD 03-05 SINGAPORE 459108	ACTIVE	18	68421731	24/04/1997	LANDSFIELD PROPERETY MANAGEMENT PTE LTD	68421731
 Single Tier Management Corporation	 2085		S97MC2085A	PEIRCE VIEW CONDOMINIUM	557 UPPER THOMSON ROAD 574418	557 UPPER THOMSON ROAD 02-17 SINGAPORE 574418	ACTIVE	66	62569333	12/05/1997	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 2086		S97MC2086H	LOYANG GARDENS	69/A/B JALAN LOYANG BESAR 509381	63C JALAN LOYANG BESAR 01-01 SINGAPORE 509380	ACTIVE	36		10/05/1997	Barringham International Property Management Pte Ltd	64664703
 Single Tier Management Corporation	 2087		S97MC2087D	MANAGEMENT CORPN STRATA TITLE PLAN NO 2087	5 LORONG 4 GEYLANG 399264	531 UPPER CROSS STREET 03-52 SINGAPORE 050531	ACTIVE	11	6533 3375	08/05/1997	Rhodo Property & Estate Management Services Pte Ltd	65333375
 Single Tier Management Corporation	 2088		S97MC2088L	SIGLAP LODGE	97/A/B/C UPPER EAST COAST ROAD 455231	16 RAFFLES QUAY 11-01 SINGAPORE 048581	ACTIVE	8	62207535	12/05/1997	KINGSTON PROPERTY MAINTENANCE SERVICES PTE LTD	62207535
 Single Tier Management Corporation	 2089		S97MC2089G		27/A/B LORONG 22 GEYLANG 398684	TERMINATED  - SINGAPORE 	TERMINATED	12		16/05/1997	KINGSTON PROPERTY MAINTENANCE SERVICES PTE LTD	62207535
 Single Tier Management Corporation	 2090		S97MC2090D	CHANCERY ESQUIRE	8 CHANCERY LANE 309494	8 CHANCERY LANE - SINGAPORE 309494	ACTIVE	31	62569333	22/04/1997	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333
 Single Tier Management Corporation	 2091		S97MC2091L	MANAGEMENT CORPN STRATA TITLE PLAN NO 2091	346 BALESTIER ROAD 329776	346 BALESTIER ROAD 01-01 SINGAPORE 329776	ACTIVE	126	6356 5716	10/06/1997	SunProp Property and Assest Management Consultants Pte Ltd	62230169
 Single Tier Management Corporation	 2092		S97MC2092G	MANAGEMENT CORPORATION STRATA TITLE PLAN NO.2092	41 TYRWHITT ROAD 207539	41A/B/C TYRWHITT ROAD - SINGAPORE 207539	ACTIVE	4	62910777	09/05/1997	MCST	
 Single Tier Management Corporation	 2093		S97MC2093C	CAMELODGE		141  MIDDLE ROAD 06-08 SINGAPORE 188976	ACTIVE	12	68861936	29/05/1997	PENTAGON PROPERTY CONSULTANTS PTE LTD	68861936
 Single Tier Management Corporation	 2094		2094	MAR THOMA MANSIONS	28 MAR THOMA ROAD 328708	28 MAR THOMA ROAD 01-01 SINGAPORE 328708	ACTIVE	18	98383752	09/06/1997	MCST	
 Single Tier Management Corporation	 2095		S97MC2095F	HONG HENG MANSIONS	60 SEMBAWANG ROAD 779087	54 SEMBAWANG ROAD 02-05 SINGAPORE 779085	ACTIVE	58	68861936	04/07/1997	OCEAN IFM Pte. Ltd.	68861936
 Single Tier Management Corporation	 2096		S97MC2096B	36 PRINSEP STREET	36 PRINSEP STREET 188648	229 MOUNTBATTEN ROAD 03-36 SINGAPORE 398007	ACTIVE	6	62569333	19/06/1997	Newman & Goh Property Consultants Pte Ltd	82887907
 Single Tier Management Corporation	 2097		S97MC2097J	EN FU MANSION	31 LORONG 33 GEYLANG 387988	31 LORONG 33 GEYLANG 01-01 SINGAPORE 387988	ACTIVE	12	67348316	23/06/1997	Focal Property Services	67348316
 Single Tier Management Corporation	 2098		S97MC2098E	THE RIVERSIDE PIAZZA	11 KENG CHEOW STREET 59608	11 KENG CHEOW STREET - SINGAPORE 059608	ACTIVE	64	65350539	03/09/1997	SAVILLS PROPERTY MANAGEMENT PTE LTD	65350539
 Single Tier Management Corporation	 2099		S97MC2099A	SALLIM LODGE	20 SALLIM ROAD 387635	20 SALLIM ROAD 01-04 SINGAPORE 387635	ACTIVE	12	92708348	25/06/1997		
 Single Tier Management Corporation	 2100		S97MC2100E	LE LOYANG	43 JALAN LOYANG BESAR 509371	43 JALAN LOYANG BESAR - SINGAPORE 509371	ACTIVE	24	64497141	26/06/1997	Ascent Property Management Services Pte Ltd	64497141
 Single Tier Management Corporation	 2101		S97MC2101A	ASTOR GREEN	3 PINE GROVE 597590	5 PINE GROVE 01-01 SINGAPORE 597591	ACTIVE	9	64635364	24/06/1997	JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD	65004342
 Single Tier Management Corporation	 2102		S97MC2102H	PEOPLES MANSION	9C LORONG 31 GEYLANG 388020	7C LORONG 31 GEYLANG - SINGAPORE 388022	ACTIVE	32	96778645	01/09/1997	MCST	91912318
 Single Tier Management Corporation	 2103		S97MC2103D		79/A/B KOVAN ROAD 548171	C/O 79A KOVAN ROAD - SINGAPORE 548171	TERMINATED	3	64585517	08/07/1997	MCST	91912318
 Single Tier Management Corporation	 2104		S0103472C	WING FONG BUILDING			ACTIVE	7	6842-1731	08/07/1997	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731
 Single Tier Management Corporation	 2105		S97MC2105G	HILLVIEW PARK	19B HILLVIEW AVENUE 669554	19A HILLVIEW AVENUE 01-03 SINGAPORE 669554	ACTIVE	184	67667580	18/09/1997	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 2106		S97MC2106C	CRESCENDO BUILDING		35 UPPER EAST COAST ROAD - SINGAPORE 455294	ACTIVE	39	6665 3880	25/09/1997	Propmag Management Services Pte Ltd	66653880
 Single Tier Management Corporation	 2107		S8825118J	CRESCENDO PARK	6 JALAN TUA KONG 457269	6 JALAN TUA KONG 01-01 SINGAPORE 457269	ACTIVE	77	62413708	25/09/1997	Hilandas Strata Management Pte Ltd	63420778
 Single Tier Management Corporation	 2108		S97MC2108F	PEPPERMINT GROVE	45 NEWTON ROAD 307971	45 NEWTON ROAD 01-04 SINGAPORE 307971	ACTIVE	15	62569333	09/07/1997	Newman & Goh Property Consultants Pte Ltd	62569333
 Single Tier Management Corporation	 2109		S97MC2109B	PARKSHORE CONDOMINIUM	201 TANJONG RHU ROAD 436917	201 TANJONG RHU ROAD 01-12 SINGAPORE 436917	ACTIVE	152	63463238	08/10/1997	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 2110		S97MC2110K	ASTON LODGE	56 LORONG 8 GEYLANG 399116	3006 UBI ROAD 1 03-370 SINGAPORE 408700	ACTIVE	13	67441083	26/07/1997	Chern Sern Property Services Pte Ltd	67441083
 Single Tier Management Corporation	 2111		S97MC2111F	PACIFIC VIEW CONDOMINIUM (Terminated)	244 PASIR PANJANG ROAD 118602	244 PASIR PANJANG ROAD B1-02 SINGAPORE 118602	TERMINATED	50	63231608	19/08/1997	NIL	
 Single Tier Management Corporation	 2112		S97MC2112B	CHILTERN PARK	131 SERANGOON AVENUE 3 556112	137 SERANGOON AVENUE 3 02-01 SINGAPORE 556115	ACTIVE	501	6281 6288	22/09/1997	Chamber Property Management Services Pte Ltd	64685100
 Single Tier Management Corporation	 2113		S97MC2113J	COUNTRY GRANDEUR	22 LORONG PUNTONG 576439	22 LORONG PUNTONG 01-01 SINGAPORE 576439	ACTIVE	68	64576162	30/09/1997	Rhodo Property & Estate Management Services Pte Ltd	65333375
 Single Tier Management Corporation	 2114		97MC2114E	L & Y BUILDING	59 JALAN PEMIMPIN 577218	59 JALAN PEMIMPIN 03-00 SINGAPORE 577218	ACTIVE	24	62230169/170	30/09/1997	SunProp Property and Assest Management Consultants Pte Ltd	90294446
 Single Tier Management Corporation	 2115		S97MC2115A	TEMBELING MANSIONS	230 TEMBELING ROAD 423742	230 TEMBELING ROAD - SINGAPORE 309072	ACTIVE	11	67336845	31/07/1997	Kirin International Property Consultancy Pte Ltd	67336845
 Single Tier Management Corporation	 2116		S97MC2116H	TELOK KURAU MANSION	38 LORONG L TELOK KURAU 425445	38 LORONG L TELOK KURAU - SINGAPORE 425445	ACTIVE	5	98214774	04/08/1997		
 Single Tier Management Corporation	 2117		S97MC2117D	KURAU COURT		1001A UPPER SERANGOON ROAD - SINGAPORE 534739	ACTIVE	22	62886969	11/08/1997	MCST	
 Single Tier Management Corporation	 2118		S97MC2118L	SECOND AVENUE JUNCTION	733 BUKIT TIMAH ROAD 269748	733 BUKIT TIMAH ROAD 02-04 SINGAPORE 269748	ACTIVE	21	6348-8278	12/08/1997	Iland Property Consultants Pte Ltd	63488278
 Single Tier Management Corporation	 2119		S97MC2119G	HILLVIEW HEIGHTS	27 HILLVIEW AVENUE 669559	27A HILLVIEW AVENUE 02-00 SINGAPORE 669560	ACTIVE	360	67637829	22/11/1997	SavillsCKH Pte Ltd	63463238
 Single Tier Management Corporation	 2120		S97MC2120D	ASTORIA PARK 	28 LORONG MYDIN 416883	30 LORONG MYDIN 02-01 SINGAPORE 416825	ACTIVE	354	68421847	08/11/1997	Rhodo Property & Estate Management Services Pte Ltd	65333375
 Single Tier Management Corporation	 2121		S97MC2121L	BEAUTY WORLD CENTRE	144 UPPER BUKIT TIMAH ROAD 588177	144 UPPER BUKIT TIMAH ROAD 02-38 SINGAPORE 588177	ACTIVE	274	64660379	08/10/1997		
 Single Tier Management Corporation	 2122		S0103472C	BUKIT REGENCY	7 UPPER BUKIT TIMAH VIEW 588135	11 UPPER BUKIT TIMAH VIEW 01-01 SINGAPORE 588137	ACTIVE	224	64663047	31/10/1997		
 Single Tier Management Corporation	 2123		S97MC2123C	DEVONSHIRE LODGE	59 DEVONSHIRE ROAD 239856	59 DEVONSHIRE ROAD - SINGAPORE 239856	TERMINATED	27	62218288	19/08/1997	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288
 Single Tier Management Corporation	 2124		S97MC2124K	NORTHSHORE BUNGALOWS	247 PONGGOL SEVENTEENTH AVENUE 829695	519 BALESTIER ROAD 04-02 SINGAPORE 329852	ACTIVE	22	6255 7997	27/09/1997	Ace Body Corporate Management Pte Ltd	62557997
 Single Tier Management Corporation	 2125		S97MC2125F	SEABREEZE APARTMENTS	542C JOO CHIAT ROAD 427714	540 SIMS AVENUE 03-06 SINGAPORE 387603	TERMINATED	56	68421731	01/10/1997	LANDSFIELD PROPERTY CONSULTANTS PTE LTD	68421731
 Single Tier Management Corporation	 2126		S97MC2126B	SIMS AVENUE CENTRE	540 SIMS AVENUE 387603	3006 UBI ROAD 1 03-370 SINGAPORE 408700	ACTIVE	20	6744-1083	21/10/1997	CHERN SERN PROPERTY SERVICES PTE LTD	67441083
 Single Tier Management Corporation	 2127		S97MC2127J	KOVAN APARTMENTS	32 KOVAN ROAD 548102	50 CHIN SWEE ROAD 09-02 SINGAPORE 169874	ACTIVE	16	67322220	18/10/1997	Sierra Asset Management Pte Ltd	67322220
